,SP,Hectar,D2021,D2023,D2025,D2027,D2029,D2031,D2033,D2035,D2037,D2039,D2041,D2043,D2045,D2047,D2049,D2051,D2053,D2055,SP_Name
350,109,0,29.34286363820401,29.030459561358768,29.35909151390545,29.336750969891032,29.3273318656375,29.328840356659963,29.327715124410012,29.32678836267707,29.32669058411262,29.326631472042827,29.32654670188161,29.326526011489182,29.32652216917099,29.32651541433256,29.326512605212038,29.326512156609805,29.32651166159142,29.326511354720513,ELATTA
351,109,1,29.48290456267607,29.085387763242966,29.492001961360707,29.37583764074799,29.35572222219254,29.36319304199923,29.355822177158437,29.353428900531576,29.353567597512978,29.353134088326595,29.352869773908726,29.352854925716937,29.352834516328976,29.352809963824598,29.352805898560117,29.35280519570488,29.35280330727131,29.3528026905303,ELATTA
352,109,1,14.918775838808902,17.825733917887238,20.996193802201503,24.173209508436305,26.66960582799749,28.1447515882786,28.861113824184397,29.16638187219171,29.284543133519673,29.328214132545096,29.34400218189137,29.349660050943267,29.351681369028366,29.352402606492966,29.352659856729755,29.35275159728203,29.35278431227429,29.352795978294672,ELATTA
353,110,1,15.814510467738351,18.903083728596737,22.10573694353397,25.127281040502204,27.281540583221144,28.456263990357286,29.00027621417788,29.223441130223076,29.307947763371462,29.338854646878332,29.349958995135577,29.35392576360661,29.35533919574584,29.35584245282379,29.356021578750763,29.356085329895244,29.356108017983313,29.356116092255004,ELLATA
354,111,0,26.128483924093608,27.903276889247476,28.71379748145609,29.103338726131604,29.25001526973645,29.30450513223675,29.32421811855523,29.331247148814423,29.333751331806297,29.334641186507568,29.334957381573986,29.33506970129284,29.33510959897211,29.33512377079432,29.33512880465532,29.33513059268818,29.335131227798698,29.335131453390343,EUGE10
355,112,0,28.70385456619351,29.07561449336081,29.240388007966207,29.304665310217313,29.32688890492337,29.334976515794146,29.337826638990055,29.338839902150493,29.339198643825114,29.339325778709135,29.339370814274453,29.339386768840455,29.33939242075818,29.339394422967768,29.339395132254065,29.339395383520085,29.339395472531518,29.339395504063976,EUGEC1
356,112,0,24.576443463235613,27.041702616797416,28.291741462637084,28.92919984301159,29.186814097650153,29.284031176444465,29.319658520456173,29.332379480692165,29.336908060911338,29.338513954869473,29.33908319146914,29.339284872188113,29.33935632314069,29.33938163523615,29.339390602168464,29.33939377872794,29.339394904030918,29.339395302671615,EUGEC1
357,112,0,24.02561464949416,26.726722379045945,28.132257179558795,28.85714542039037,29.159110825706957,29.273711861471632,29.315946005824117,29.331055947936616,29.336438126236562,29.338347355709757,29.339024155476025,29.339263956695163,29.339348913503372,29.339379010329356,29.33938967228611,29.339393449315,29.339394787335728,29.33939526133213,EUGEC1
358,112,1,20.18595353415911,23.52401837528631,26.11534963241798,27.867540861483594,28.743416628449445,29.1240654029802,29.27537005734686,29.331255280055814,29.351478820306063,29.358688562920428,29.361251603075893,29.362160674767466,29.362483038331543,29.362597308315845,29.362637814849066,29.362652172653064,29.36265726193759,29.362659065865458,EUGEC1
359,112,1,5.689337499968072,8.37504052539936,10.328509466571507,11.875716048735978,13.655677455236173,15.986881021764706,18.904370804289293,22.1762469728749,25.193629356038414,27.317363203720717,28.47886519586214,29.014406573202947,29.23319784127201,29.315843303685664,29.345944045188798,29.35671860612564,29.36055209363402,29.361912608506405,EUGEC1
360,112,1,26.988929410624277,28.21788387784063,28.87330040646139,29.188226340492335,29.297248330168685,29.339528139740388,29.354385688440413,29.359730435050928,29.361619904333384,29.362291521680874,29.36252938027433,29.36261374328058,29.362643639013157,29.36265423733714,29.362657993734395,29.36265932526435,29.36265979722585,29.362659964517395,EUGEC1
361,113,0,19.23370041489731,22.90903885178101,25.750031395514394,27.645572457421537,28.640168125645427,29.073120237149915,29.244576454329845,29.308139259405806,29.33102304425874,29.33916666601598,29.342050866706266,29.343070812057842,29.343431269409948,29.343558634256862,29.343603634041372,29.34361953272843,29.343625149770737,29.343627134278908,EUGECH
362,114,0,29.163076566217484,28.944006157855846,29.107044934038804,29.302961836626924,29.32416980569434,29.34058298169635,29.345115017104405,29.346894962334602,29.347496884166272,29.347712665159847,29.34778817529528,29.347814857377372,29.347824247887687,29.34782755819542,29.34782872434573,29.34782913526857,29.347829280051283,29.347829331065743,EUGECL
363,114,1,17.36840180171277,20.74012917459905,23.90009581354387,26.474641224550258,28.05592918646566,28.831056717956407,29.16509112728096,29.294802840478873,29.3425251537441,29.359657719792793,29.365741094465534,29.367893729049378,29.368654223361247,29.368922794784222,29.369017618865392,29.3690510974088,29.36906291683018,29.3690670896281,EUGECL
364,114,1,20.973642706318678,24.311634733295147,26.685420807477996,28.16905551487022,28.88511309974122,29.185895071976667,29.30269477107047,29.345357218800164,29.36066864889377,29.366098592167223,29.36802016563915,29.368698860629927,29.368938559090086,29.369023183960827,29.36905306228485,29.369063610495623,29.36906733452707,29.369068649263166,EUGECL
365,114,1,17.360438177393796,20.753486044709142,23.92438044711937,26.487463977880246,28.062834854622075,28.834383702570115,29.166378638505368,29.295291919263168,29.342700998019264,29.35972048559952,29.365763300005938,29.367901581787898,29.368656995979595,29.368923773938143,29.36901796453448,29.369051219453123,29.36906295991615,29.36906710483957,EUGECL
366,115,0,3.4196282794856643,6.382027927688625,9.267309344614283,11.592703993758118,13.726323669301475,16.271977590070094,19.41150454935338,22.798700286615542,25.72422092516735,27.64656045242383,28.641618059650504,29.079927990154896,29.252749943385666,29.316596226463425,29.33949073113629,29.34759473493351,29.35045008104898,29.35145435187492,EUGEDE
367,115,0,16.80140862222241,20.350151581424875,23.65389407523562,26.319394555006028,27.980707976466267,28.79501420014054,29.14191065907185,29.2759782364328,29.324969181391932,29.342461631308648,29.34864224241384,29.35081862443201,29.351583909420103,29.35185289539777,29.3519474225197,29.351980639646712,29.351992311968377,29.35199641353795,EUGEDE
368,115,0,17.998418420794465,21.652716858963025,24.769157480942162,27.061469951337582,28.364348234902057,28.96317716360981,29.208130224219094,29.300380105731197,29.33371316691182,29.345555311537993,29.349732139017448,29.35120193382687,29.351718644686592,29.35190024514596,29.35196406148745,29.351986486507762,29.351994366514887,29.35199713548868,EUGEDE
369,115,1,18.153513895513033,21.594133721101564,24.643378610844152,26.973630396448876,28.31756751159203,28.949744362185687,29.214442653896153,29.315208505031656,29.35194356200276,29.365053909358476,29.36969503785733,29.371333039371272,29.371910514696392,29.372114024744114,29.372185734619954,29.372211001489806,29.372219904082073,29.37222304082549,EUGEDE
370,116,1,23.089224629917,25.96821949384701,27.711154675302474,28.688101411214113,29.11061538287053,29.27819873785621,29.340686171938735,29.36307328323342,29.37102415045335,29.373825297695195,29.374811893976872,29.37515882617047,29.375280860969344,29.375323769914168,29.37533885960824,29.37534416553126,29.375346031342804,29.375346687424155,EUGEDU
371,116,0,26.711190681441412,28.178788513633176,28.859500292444192,29.17593345978172,29.290631753523634,29.333014778210526,29.34799455227281,29.35328029575228,29.355134439823875,29.35578482915769,29.35601276039311,29.356092647211913,29.356120641972073,29.356130452516187,29.356133890440613,29.356135095208817,29.356135517398936,29.356135665348468,EUGEDU
372,117,0,27.056553521047444,28.3493154046095,28.941636211545728,29.209984647833668,29.305886212562324,29.341158289362294,29.353538617964585,29.35789761955668,29.35942100672653,29.35995405206968,29.36014030652473,29.360205412668105,29.36022816410518,29.36023611549809,29.36023889424472,29.36023986535117,29.360240204724814,29.360240323326916,EUGEFI
373,117,0,22.207147180024158,25.435724257396227,27.41869249680013,28.541989620496864,29.04597902892306,29.245044635522063,29.319306046291274,29.34583126481992,29.355193946036852,29.35847510375213,29.359623320291327,29.360024710958772,29.360165012409826,29.3602140451652,29.36023118126415,29.360237169864064,29.360239262726235,29.360239994123905,EUGEFI
374,118,1,29.365531073446693,29.026292201545143,29.383127267621408,29.37766753032043,29.379494003337957,29.381413067416286,29.3813151624726,29.38145589770281,29.381481421873293,29.38148736675377,29.381490345238696,29.38149118696266,29.38149152558029,29.38149163469517,29.381491674963335,29.381491688623193,29.381491693503445,29.381491695191947,EUGEFL
375,118,0,29.424375292371835,29.071792545978656,29.437821288077092,29.381432972022402,29.368404157027385,29.37016283872765,29.366507300560063,29.3648642022785,29.36477422576787,29.36454876238973,29.36437534998276,29.364348717483914,29.364335063767037,29.36431963728087,29.364315345756495,29.36431430677353,29.364313078605473,29.364312553419975,EUGEFL
376,119,0,27.73875798588434,28.6610495606752,29.08812099605431,29.269668389063778,29.333015178188557,29.356071892906954,29.364060773132092,29.366861298006274,29.367832733117552,29.36817099739717,29.36828847761691,29.368329326809462,29.368343520696676,29.368348454339024,29.368350168894985,29.368350764801225,29.368350971901833,29.368351043879336,EUGEGR
377,119,0,28.451215831588264,28.963137395536872,29.217673629761613,29.315645452362922,29.349685766622795,29.361874748311774,29.36609191806766,29.367566653534702,29.36807822733848,29.368256283563134,29.36831812835269,29.36833963039228,29.368347101964968,29.36834969894105,29.368350601460364,29.36835091513546,29.368351024150105,29.3683510620379,EUGEGR
378,119,1,3.0623939229845334,5.957457209595777,8.525031862654394,10.37170871887307,11.89535944008686,13.688658365358654,16.031183871201844,18.95292933658287,22.22276552021575,25.231710775200025,27.347967948816272,28.50687811131115,29.04085229195424,29.257909166569064,29.339261815928094,29.368566146822467,29.378921913496438,29.382557144170796,EUGEGR
379,119,1,5.600544136649141,8.156617514327536,10.065953827367139,11.584196376346956,13.296722006101929,15.52489191277532,18.33998740048776,21.577959934009268,24.697805085067944,27.015391368806192,28.340495222856983,28.968960377029287,29.23003819744181,29.329057878809163,29.364934725357625,29.37764403486383,29.382109418097237,29.383672884048966,EUGEGR
380,120,1,29.249684119178507,29.314941270295325,29.366108692527323,29.379115677587503,29.38476690789335,29.386503699700754,29.3871634583041,29.38738167435299,29.387460510737565,29.387487405213,29.387496924899526,29.387500214992937,29.387501369738747,29.387501771009305,29.387501911349588,29.38750196022852,29.387501977298278,29.387501983249134,EUGEIN
381,121,0,29.90657758802445,29.419734827151625,29.60708334994014,29.44639723479263,29.394395421856053,29.394310985365028,29.384354239920718,29.378270391534986,29.377708034198026,29.37713370838699,29.376558680528564,29.376438628945102,29.376401982137164,29.37635469167706,29.376338130286687,29.376334747301392,29.376331172208474,29.37632933855133,EUGEKO
382,122,0,3.4515637684495566,6.465841211500454,9.358876052047169,11.673436070086478,13.816593684516715,16.39184678126246,19.557551434752703,22.945077249734048,25.841016537528695,27.727095425547724,28.697780379530474,29.122146690325575,29.28752897526214,29.34776300982041,29.368995363677275,29.376373251717617,29.378923597817526,29.379803423140093,EUGENA
383,122,0,22.196944496315517,25.461231634287845,27.45321437628105,28.568908545548002,29.07080363729982,29.267982897527574,29.34083718701398,29.366567216878224,29.375534111284853,29.378633566119742,29.379703476857287,29.380072291192914,29.380199432754136,29.380243249703383,29.380258351545123,29.380263556115658,29.380265349833856,29.380265968011955,EUGENA
384,122,1,29.70766053152216,29.415841894975504,29.538876791392482,29.431277107700613,29.40153156690345,29.403782292979972,29.397477846741086,29.394224957025653,29.394085204732807,29.39376988839957,29.393465244354555,29.39342274963764,29.39341015811008,29.393386417807296,29.39337979669009,29.39337920987664,29.393377642732727,29.393376884490966,EUGENA
385,123,1,16.36154505574473,19.576638572203667,22.8065744418041,25.677778658497225,27.62275007869302,28.64646604195832,29.107443547834386,29.291147480044934,29.35905728335877,29.383264576280656,29.391742031706325,29.39469357013451,29.395718299956886,29.396073880380044,29.396197205014435,29.396239978926133,29.396254812672346,29.39625995720737,EUGEO1
386,123,0,28.924442935047516,28.887983792794984,28.628983703707814,29.22403318486824,29.325906058414724,29.36340798059387,29.37711278920337,29.38171959368179,29.383331854965448,29.38388101534538,29.38407086456618,29.384135893684483,29.38415828751245,29.384165974330102,29.38416861790363,29.384169526021033,29.384169838187095,29.384169945451283,EUGEO1
387,124,0,28.88518979418505,28.88518979414689,28.873787426793502,29.272714253387146,29.33479907861311,29.371890828861858,29.382025077796353,29.38607065186736,29.387344582376315,29.387805266920907,29.387958189969535,29.388011637932667,29.388029737299902,29.38803598512566,29.3880381167224,29.3880388491741,29.388039099764033,29.38803918572458,EUGEP3
388,124,0,26.234711906883074,27.916272752663286,28.76065744887494,29.15956482689231,29.305620399264868,29.359504634574037,29.378172226069736,29.38465731209865,29.386878130905988,29.387641512725857,29.387902868080662,29.387992511337863,29.388023217720566,29.388033743621012,29.38803735010918,29.38803858614564,29.388039009693735,29.38803915484462,EUGEP3
389,124,0,29.091932938399268,28.92692670096309,29.02713546895144,29.31558517606853,29.351636172423923,29.37758941992656,29.384017539614803,29.386749368814822,29.387578450049254,29.387885199296022,29.387985632226616,29.388021032318786,29.388032958773678,29.388037088654237,29.388038494980737,29.388038978779882,29.38803914418243,29.38803920094543,EUGEP3
390,124,1,5.677262872630333,8.20772728784899,10.088254807430246,11.596965977455682,13.313047347987386,15.545706231797462,18.362185622562297,21.598037452247986,24.71341599691518,27.028760365582873,28.35518502461481,28.984899113535004,29.24596037129618,29.344543982160367,29.38001817074606,29.392477027727686,29.396813939438804,29.398317699660343,EUGEP3
391,124,1,29.418357605216848,29.05028691910051,29.42338996137484,29.398720960688017,29.39868884032648,29.40099269669039,29.399269853456442,29.399167993320575,29.39926272857497,29.399141913504,29.39912124141118,29.399125559063485,29.39911772438778,29.39911511244115,29.39911517572642,29.399114727897754,29.399114449503045,29.39911443111766,EUGEP3
392,125,1,29.39061411547618,29.39978451305522,29.400757165814138,29.40163130520654,29.40180199681528,29.401893115235634,29.401916724063028,29.401926806196432,29.4019298174011,29.401930973088362,29.401931344044375,29.40193147911197,29.401931524075835,29.401931540023387,29.40193154543082,29.401931547323677,29.40193154797147,29.40193154819674,EUGEP4
393,126,0,15.911623542812062,19.320496792904777,22.69083330156947,25.62849350027224,27.617914301419525,28.656740094640575,29.115740957343625,29.295566580971613,29.360863306080855,29.383724295064038,29.391590463971703,29.394280837372563,29.395198579366344,29.395511438637072,29.395618050592486,29.395654379470557,29.395666757853647,29.39567097563066,EUGEPU
394,126,0,21.547221005413164,24.910216332737164,27.113987344221925,28.41544897107994,29.016615800265804,29.257866442977004,29.34750393020341,29.379080591171817,29.39000082155139,29.39373743291738,29.395013404893177,29.395448300971633,29.39559654142074,29.395647049151105,29.39566426042756,29.395670124617276,29.395672122797876,29.39567280362827,EUGEPU
395,126,0,24.42384620906643,26.927463256254796,28.270414283447643,28.960055254959382,29.2359748568362,29.33963054582708,29.376342299716836,29.389059987179824,29.393416065906145,29.394903779024602,29.395410940236296,29.39558380903038,29.395642710872433,29.39566278217383,29.395669620937536,29.395671951175878,29.3956727451517,29.395673015686665,EUGEPU
