TAG,SP,QUAD,Hectar,D2015,D2017,D2019,GR1517,GR1719,MAX DBH 1517,MAX DBH 1719,IV SP 15,IV SP 17,SP Life Score 15,SP Life Score 17,LifeSpan
2643A,AAAAAA,14,H1,12.9,0,0,-6.45,0,12.9,0,0.34,0,0.08,0,6
2804A,ACROPO,21,H1,0,13.8,14,6.9,0.1,13.8,14,0.15,0.29,0.2,0.4,0
3551B,ACROPO,49,H2,17.6,18.6,0,0.5,-9.3,18.6,18.6,0.15,0.29,0.2,0.4,6
3007,ADENBI,28,H1,31.2,31.9,32.8,0.35,0.45,31.9,32.8,0.3,0.29,0.67,0.67,0
3504A,ADENBI,47,H2,32.2,33.5,33.7,0.65,0.1,33.5,33.7,0.3,0.29,0.67,0.67,0
2547A,AGLAE1,10,H2,13.3,13.3,13.6,0,0.15,13.3,13.6,0.34,0.33,1,1,0
2717A,AGLAGL,17,H2,0,10.5,10.8,5.25,0.15,10.5,10.8,0,0.16,0,1,0
2674A,AGLASP,15,H1,0,10.8,10.8,5.4,0,10.8,10.8,0,0.31,0,1,10
2871B,AGLASP,23,H1,0,11.8,10.8,5.9,-0.5,11.8,11.8,0,0.31,0,1,9
2446A,AIDICO,6,H1,0,11.8,11.9,5.9,0.05,11.8,11.9,0.15,0.59,0.25,0.75,0
3133A,AIDICO,33,H1,0,19.8,20.4,9.9,0.3,19.8,20.4,0.15,0.59,0.25,0.75,6
3547A,AIDICO,49,H2,21.3,21.5,21.9,0.1,0.2,21.5,21.9,0.15,0.59,0.25,0.75,0
2632C,AIDIWA,13,H2,23.5,24.9,28.1,0.7,1.6,24.9,28.1,0.49,0.49,1,1,0
2410A,ALANEB,4,H1,12.5,12.7,12.6,0.1,-0.05,12.7,12.7,1.67,1.49,1,1,0
2423B,ALANEB,5,H1,11,10.7,10.8,-0.15,0.05,11,10.8,1.67,1.49,1,1,0
2935A,ALANEB,25,H1,12.5,13.7,14.2,0.6,0.25,13.7,14.2,1.67,1.49,1,1,11
2949A,ALANEB,26,H1,14.1,14.7,14.7,0.3,0,14.7,14.7,1.67,1.49,1,1,0
3161C,ALANEB,34,H2,13.4,13.5,14.6,0.05,0.55,13.5,14.6,1.67,1.49,1,1,5
3416C,ALANEB,44,H2,12.3,13,13.4,0.35,0.2,13,13.4,1.67,1.49,1,1,0
3417B,ALANEB,44,H2,15.2,15.7,15.6,0.25,-0.05,15.7,15.7,1.67,1.49,1,1,6
3431B,ALANEB,44,H2,11,11.3,11.1,0.15,-0.1,11.3,11.3,1.67,1.49,1,1,0
3527A,ALANEB,48,H2,12.8,13,13,0.1,0,13,13,1.67,1.49,1,1,6
2331,ALANRI,1,H2,16.4,16.6,16.5,0.1,-0.05,16.6,16.6,1.91,1.85,0.56,0.56,7
2617,ALANRI,12,H1,23.4,23.7,24.2,0.15,0.25,23.7,24.2,1.91,1.85,0.56,0.56,0
2803,ALANRI,20,H1,18.4,18.7,19,0.15,0.15,18.7,19,1.91,1.85,0.56,0.56,0
2912,ALANRI,25,H1,14.2,11.4,11.5,-1.4,0.05,14.2,11.5,1.91,1.85,0.56,0.56,0
2965,ALANRI,27,H1,12.9,13,13.1,0.05,0.05,13,13.1,1.91,1.85,0.56,0.56,10
3071,ALANRI,31,H2,21.5,21.9,21.9,0.2,0,21.9,21.9,1.91,1.85,0.56,0.56,0
3139,ALANRI,33,H2,29.9,30,30.2,0.05,0.1,30,30.2,1.91,1.85,0.56,0.56,0
3528,ALANRI,48,H2,26.6,27.2,27.5,0.3,0.15,27.2,27.5,1.91,1.85,0.56,0.56,0
3553,ALANRI,50,H2,27,27.3,0,0.15,-13.65,27.3,27.3,1.91,1.85,0.56,0.56,0
2385,ALPHEL,4,H2,19.4,19.4,19.5,0,0.05,19.4,19.5,1.52,1.19,0.86,0.57,0
2502A,ALPHEL,8,H1,11.1,12,12.2,0.45,0.1,12,12.2,1.52,1.19,0.86,0.57,0
2677F,ALPHEL,15,H1,12.8,13.5,13.5,0.35,0,13.5,13.5,1.52,1.19,0.86,0.57,6
3497B,ALPHEL,47,H1,10.8,11.2,11.3,0.2,0.05,11.2,11.3,1.52,1.19,0.86,0.57,0
3539B,ALPHEL,48,H2,10.8,0,0,-5.4,0,10.8,0,1.52,1.19,0.86,0.57,0
3539C,ALPHEL,48,H2,10.8,0,0,-5.4,0,10.8,0,1.52,1.19,0.86,0.57,0
2395,ALPHMA,4,H1,28.3,0,0,-14.15,0,28.3,0,0.86,0.43,0.27,0.27,0
3007E,ALPHMA,28,H2,0,10.8,10.8,5.4,0,10.8,10.8,0.86,0.43,0.27,0.27,0
3385,ALPHMA,43,H2,18.8,19,19.2,0.1,0.1,19,19.2,0.86,0.43,0.27,0.27,0
3544A,ALPHMA,49,H2,12.7,12.9,12.9,0.1,0,12.9,12.9,0.86,0.43,0.27,0.27,0
2601,ANI1LA,12,H2,21.1,21.5,21.7,0.2,0.1,21.5,21.7,1.8,1.89,0.64,0.73,0
2603,ANI1LA,12,H1,31.1,32.2,33.2,0.55,0.5,32.2,33.2,1.8,1.89,0.64,0.73,0
2982,ANI1LA,27,H1,31.8,32.6,33.6,0.4,0.5,32.6,33.6,1.8,1.89,0.64,0.73,0
3132,ANI1LA,33,H2,22.5,23,23.7,0.25,0.35,23,23.7,1.8,1.89,0.64,0.73,17
3277,ANI1LA,38,H2,49.5,48.1,50.1,-0.7,1,49.5,50.1,1.8,1.89,0.64,0.73,5
3504,ANI1LA,47,H2,13.8,13,13.1,-0.4,0.05,13.8,13.1,1.8,1.89,0.64,0.73,5
3505B,ANI1LA,47,H2,0,11,0,5.5,-5.5,11,11,1.8,1.89,0.64,0.73,0
3561B,ANI1LA,50,H2,25.5,26.4,26.4,0.45,0,26.4,26.4,1.8,1.89,0.64,0.73,0
2362A,ANI2CO,2,H2,14.5,14.5,14.7,0,0.1,14.5,14.7,0.36,0.34,0.5,0.5,0
2747,ANTICO,18,H1,20.4,20.5,20.6,0.05,0.05,20.5,20.6,0.18,0.18,0.33,0.33,0
2575C,APORAU,11,H2,11.8,11.9,12,0.05,0.05,11.9,12,0.62,0.74,0.75,1,0
2911B,APORAU,25,H1,0,12.1,12.4,6.05,0.15,12.1,12.4,0.62,0.74,0.75,1,0
2963A,APORAU,26,H1,13.6,14.3,14.9,0.35,0.3,14.3,14.9,0.62,0.74,0.75,1,0
3431A,APORAU,44,H2,10.7,10.8,10.7,0.05,-0.05,10.8,10.8,0.62,0.74,0.75,1,6
2335B,APORBR,1,H2,13.2,13.5,14.4,0.15,0.45,13.5,14.4,1.11,1.21,0.5,0.6,0
2349B,APORBR,2,H1,12.2,12,12.3,-0.1,0.15,12.2,12.3,1.11,1.21,0.5,0.6,0
2848,APORBR,22,H1,12.2,12.4,12.4,0.1,0,12.4,12.4,1.11,1.21,0.5,0.6,9
2910A,APORBR,25,H1,0,13.2,13.5,6.6,0.15,13.2,13.5,1.11,1.21,0.5,0.6,0
2914C,APORBR,25,H1,10.1,10.2,10.4,0.05,0.1,10.2,10.4,1.11,1.21,0.5,0.6,8
3506B,APORBR,47,H1,12,11.9,11.9,-0.05,0,12,11.9,1.11,1.21,0.5,0.6,0
2330C,APORCO,1,H2,12.7,13.3,13.8,0.3,0.25,13.3,13.8,0.33,0.33,1,1,0
2979,APORNI,27,H1,13.4,13.3,13.2,-0.05,-0.05,13.4,13.3,0.3,0.29,1,1,6
3412A,APORNI,43,H2,13.9,14,14.5,0.05,0.25,14,14.5,0.3,0.29,1,1,0
3342,APORPE,41,H1,25.1,25.4,25.7,0.15,0.15,25.4,25.7,0.15,0.14,0.2,0.2,0
2391,APORPR,4,H1,11.7,11.7,11.6,0,-0.05,11.7,11.7,0.32,0.3,0.14,0.14,0
2410,ARCHBU,4,H1,18.3,0,0,-9.15,0,18.3,0,2.14,1.69,0.39,0.35,0
2632A,ARCHBU,13,H1,15.1,16.4,17.5,0.65,0.55,16.4,17.5,2.14,1.69,0.39,0.35,0
2699,ARCHBU,16,H1,21.8,23,22.5,0.6,-0.25,23,23,2.14,1.69,0.39,0.35,0
2805B,ARCHBU,21,H1,13,14.7,15.4,0.85,0.35,14.7,15.4,2.14,1.69,0.39,0.35,0
2935D,ARCHBU,25,H1,10.1,11,12.3,0.45,0.65,11,12.3,2.14,1.69,0.39,0.35,0
2941A,ARCHBU,26,H1,15.1,16.4,17.4,0.65,0.5,16.4,17.4,2.14,1.69,0.39,0.35,0
3113A,ARCHBU,32,H2,22.5,23.3,25.7,0.4,1.2,23.3,25.7,2.14,1.69,0.39,0.35,0
3263B,ARCHBU,38,H2,18.6,18.2,19.2,-0.2,0.5,18.6,19.2,2.14,1.69,0.39,0.35,0
3328A,ARCHBU,40,H2,16.3,16.8,16.6,0.25,-0.1,16.8,16.8,2.14,1.69,0.39,0.35,0
2589A,ARCHCL,11,H2,14.6,12.8,12.7,-0.9,-0.05,14.6,12.8,0.36,0.32,1,1,0
2339A,ARCHDI,1,H1,18.4,18.5,18.7,0.05,0.1,18.5,18.7,0.42,0.4,1,1,5
2395C,ARCHDU,4,H1,10.7,13.4,14,1.35,0.3,13.4,14,0.17,0.33,1,1,0
2453A,ARDICO,6,H1,14,14.7,15.2,0.35,0.25,14.7,15.2,0.5,0.49,0.67,0.67,6
3344B,ARDICO,41,H2,14.1,13.8,0,-0.15,-6.9,14.1,13.8,0.5,0.49,0.67,0.67,0
3257A,ARDIPA,36,H2,14.8,15,15.1,0.1,0.05,15,15.1,0.15,0.14,1,1,0
2330B,ARTOIS,1,H1,13.6,14.2,14.6,0.3,0.2,14.2,14.6,2.29,2.21,0.86,0.86,9
2350,ARTOIS,2,H1,34.7,34.4,34.2,-0.15,-0.1,34.7,34.4,2.29,2.21,0.86,0.86,0
2465A,ARTOIS,6,H1,15.2,15.4,15.7,0.1,0.15,15.4,15.7,2.29,2.21,0.86,0.86,0
2487,ARTOIS,7,H1,30,30.2,30.3,0.1,0.05,30.2,30.3,2.29,2.21,0.86,0.86,15
2666A,ARTOIS,15,H1,15.1,15.7,15.9,0.3,0.1,15.7,15.9,2.29,2.21,0.86,0.86,0
2698B,ARTOIS,16,H1,14.4,14.7,15.3,0.15,0.3,14.7,15.3,2.29,2.21,0.86,0.86,0
2763B,ARTOKE,19,H1,14.1,11.1,11.2,-1.5,0.05,14.1,11.2,0.5,0.44,1,1,0
2914B,ARTOKE,25,H1,11.8,12,12,0.1,0,12,12,0.5,0.44,1,1,0
2749,ARTOLO,18,H1,0,20,20.1,10,0.05,20,20.1,0.15,0.31,0.25,0.5,0
3016,ARTOLO,29,H1,28.6,29,28.4,0.2,-0.3,29,29,0.15,0.31,0.25,0.5,0
2555,ARTORI,10,H2,28.8,28.4,29.2,-0.2,0.4,28.8,29.2,0.94,0.9,0.67,0.67,0
2572A,ARTORI,11,H1,15.3,16,0,0.35,-8,16,16,0.94,0.9,0.67,0.67,0
2787,ARTOSC,20,H2,32.6,32.6,32.8,0,0.1,32.6,32.8,0.44,0.43,0.6,0.6,7
2815,ARTOSC,21,H1,18.6,18.6,18.7,0,0.05,18.6,18.7,0.44,0.43,0.6,0.6,0
3518B,ARTOSC,47,H2,20.2,21.1,21,0.45,-0.05,21.1,21.1,0.44,0.43,0.6,0.6,0
2873B,ATUNPE,23,H1,0,10.4,10.7,5.2,0.15,10.4,10.7,0,0.14,0,1,0
3249B,BACCKU,37,H2,13,13,13,0,0,13,13,0.15,0.14,0.5,0.5,16
2967D,BACCPY,27,H1,14,0,0,-7,0,14,0,0.3,0.14,0.67,0.33,0
3003D,BACCPY,28,H2,10.5,10.5,10.6,0,0.05,10.5,10.6,0.3,0.14,0.67,0.33,6
3460A,BACCRA,46,H2,13.7,13.7,13.8,0,0.05,13.7,13.8,0.15,0.14,0.17,0.17,0
2731,BACCRE,17,H1,16.7,16.8,17,0.05,0.1,16.8,17,0.98,0.95,0.5,0.5,0
2870,BACCRE,23,H1,13.1,13.2,13.2,0.05,0,13.2,13.2,0.98,0.95,0.5,0.5,0
3312A,BACCRE,40,H2,17.3,17.6,18,0.15,0.2,17.6,18,0.98,0.95,0.5,0.5,0
3411,BACCRE,43,H2,16.8,18.9,18.9,1.05,0,18.9,18.9,0.98,0.95,0.5,0.5,6
3524,BACCRE,48,H2,38.7,40.2,40.8,0.75,0.3,40.2,40.8,0.98,0.95,0.5,0.5,15
2698,BACCSU,16,H2,18.4,18.5,18.2,0.05,-0.15,18.5,18.5,0.42,0.4,1,1,6
2707,BARRPE,17,H1,28.4,28.6,28.6,0.1,0,28.6,28.6,1.7,1.49,1,0.86,0
2741,BARRPE,18,H1,17.2,17.2,17.2,0,0,17.2,17.2,1.7,1.49,1,0.86,7
2840,BARRPE,22,H1,23.6,24,24.2,0.2,0.1,24,24.2,1.7,1.49,1,0.86,16
2888,BARRPE,24,H1,34.8,0,0,-17.4,0,34.8,0,1.7,1.49,1,0.86,6
3180A,BARRPE,35,H1,11,11.3,11.7,0.15,0.2,11.3,11.7,1.7,1.49,1,0.86,0
3433,BARRPE,44,H2,20.1,20.1,20.1,0,0,20.1,20.1,1.7,1.49,1,0.86,0
3460,BARRPE,46,H2,52.4,53,53.4,0.3,0.2,53,53.4,1.7,1.49,1,0.86,0
2648D,BEILDI,14,H1,12.8,13.2,13,0.2,-0.1,13.2,13.2,0.78,0.61,0.4,0.3,0
3080,BEILDI,31,H2,48.5,49.6,51,0.55,0.7,49.6,51,0.78,0.61,0.4,0.3,0
3098,BEILDI,32,H2,22.1,0,0,-11.05,0,22.1,0,0.78,0.61,0.4,0.3,0
3316,BEILDI,40,H2,48,48.6,49.2,0.3,0.3,48.6,49.2,0.78,0.61,0.4,0.3,0
2615,BEILKU,12,H2,15,14.7,15.2,-0.15,0.25,15,15.2,0.37,0.35,1,1,6
2382,BEILL1,3,H1,15.5,15.5,15.5,0,0,15.5,15.5,0.37,0.36,1,1,4
2850,BEILM2,22,H1,13.4,13.4,13.4,0,0,13.4,13.4,0.3,0.29,0.67,0.67,0
2854,BEILM2,22,H1,46.5,46.5,47,0,0.25,46.5,47,0.3,0.29,0.67,0.67,0
3007C,BEILP2,28,H1,10.9,11.1,11.3,0.1,0.1,11.1,11.3,0.15,0.14,0.5,0.5,4
3369,BHESPA,42,H1,22.3,23.1,24.6,0.4,0.75,23.1,24.6,0.15,0.14,0.5,0.5,9
2788A,BLUMTO,20,H2,15,15.8,0,0.4,-7.9,15.8,15.8,0.15,0.14,0.5,0.5,4
2569,BOUEMA,11,H2,36.1,35.8,36.2,-0.15,0.2,36.1,36.2,0.82,0.78,0.5,0.5,0
2992A,BOUEMA,28,H1,10.9,11.2,0,0.15,-5.6,11.2,11.2,0.82,0.78,0.5,0.5,0
2474,BOUEOP,7,H2,25.5,26.2,0,0.35,-13.1,26.2,26.2,0.67,0.65,1,1,0
3067B,BOUEOP,30,H1,14.2,15,15.7,0.4,0.35,15,15.7,0.67,0.65,1,1,0
3184,BRACHO,35,H2,34.9,34.4,32.1,-0.25,-1.15,34.9,34.4,0.15,0.14,1,1,2
3257C,BUCHAR,37,H2,10.3,10.5,0,0.1,-5.25,10.5,10.5,0.15,0.14,1,1,0
2377A,BUCHSE,3,H1,17.2,18,18.5,0.4,0.25,18,18.5,0.55,0.54,0.15,0.15,16
3436C,BUCHSE,45,H2,12.4,12.5,0,0.05,-6.25,12.5,12.5,0.55,0.54,0.15,0.15,0
3145A,CALODE,34,H2,10.8,10.9,12.3,0.05,0.7,10.9,12.3,0.15,0.14,1,1,0
2705,CALODI,17,H1,26.2,26.4,26.4,0.1,0,26.4,26.4,1.57,1.66,0.4,0.45,0
3182C,CALODI,35,H1,12.9,13.3,13.5,0.2,0.1,13.3,13.5,1.57,1.66,0.4,0.45,8
3309,CALODI,39,H2,20.1,22.2,22.2,1.05,0,22.2,22.2,1.57,1.66,0.4,0.45,6
3317A,CALODI,40,H2,11.1,11.5,11.5,0.2,0,11.5,11.5,1.57,1.66,0.4,0.45,0
3410,CALODI,43,H2,23.6,23.9,0,0.15,-11.95,23.9,23.9,1.57,1.66,0.4,0.45,4
3512C,CALODI,47,H2,13.1,13.5,13.5,0.2,0,13.5,13.5,1.57,1.66,0.4,0.45,0
3534B,CALODI,48,H2,0,10.2,10.5,5.1,0.15,10.2,10.5,1.57,1.66,0.4,0.45,0
3544B,CALODI,49,H2,16.1,16.7,17.7,0.3,0.5,16.7,17.7,1.57,1.66,0.4,0.45,0
3555A,CALODI,50,H2,22.4,22.5,22.8,0.05,0.15,22.5,22.8,1.57,1.66,0.4,0.45,4
3512A,CALORU,47,H2,10.9,11.5,11.9,0.3,0.2,11.5,11.9,0.15,0.14,1,1,0
3002B,CALOSO,28,H2,10.6,10.8,11.1,0.1,0.15,10.8,11.1,0.15,0.14,1,1,0
2570A,CALOTE,11,H1,21.6,0,0,-10.8,0,21.6,0,1.05,0.57,0.83,0.67,0
2917,CALOTE,25,H1,23.6,24.6,25.3,0.5,0.35,24.6,25.3,1.05,0.57,0.83,0.67,0
2964A,CALOTE,27,H1,20.6,21,22.1,0.2,0.55,21,22.1,1.05,0.57,0.83,0.67,0
2970,CALOTE,27,H2,17.5,17.3,0,-0.1,-8.65,17.5,17.3,1.05,0.57,0.83,0.67,0
3197A,CALOTE,35,H2,13.5,13.5,0,0,-6.75,13.5,13.5,1.05,0.57,0.83,0.67,0
3133,CALOWA,33,H2,23.8,24,24.5,0.1,0.25,24,24.5,0.15,0.14,0.13,0.13,13
3125,CANAAP,33,H2,54,54.2,54.9,0.1,0.35,54.2,54.9,0.15,0.14,1,1,6
2456A,CANALL,6,H2,0,10.6,10.8,5.3,0.1,10.6,10.8,0.15,0.31,0.5,1,0
3138A,CANALL,33,H1,15.5,12.9,0,-1.3,-6.45,15.5,12.9,0.15,0.31,0.5,1,0
2618,CANALR,12,H1,22.5,22.3,22.8,-0.1,0.25,22.5,22.8,0.92,0.88,0.5,0.5,0
2930,CANALR,25,H1,61.4,61.7,61.7,0.15,0,61.7,61.7,0.92,0.88,0.5,0.5,0
3283,CANALR,39,H2,11.1,11.8,12.5,0.35,0.35,11.8,12.5,0.92,0.88,0.5,0.5,7
3335A,CANALR,41,H2,11.5,12.8,13.5,0.65,0.35,12.8,13.5,0.92,0.88,0.5,0.5,0
2595,CANALT,12,H2,15.3,15.1,15.2,-0.1,0.05,15.3,15.2,0.37,0.35,0.5,0.5,0
3242A,CANAME,37,H1,12.1,12.4,12.3,0.15,-0.05,12.4,12.4,0.15,0.14,1,1,0
3561F,CANAPA,50,H2,0,10.1,11,5.05,0.45,10.1,11,0,0.14,0,0.17,8
2719A,CANTDI,17,H1,20.6,20.7,20.7,0.05,0,20.7,20.7,1.03,1.19,0.36,0.36,0
2724A,CANTDI,17,H1,0,16.8,16.6,8.4,-0.1,16.8,16.8,1.03,1.19,0.36,0.36,8
2740,CANTDI,18,H1,20.5,0,0,-10.25,0,20.5,0,1.03,1.19,0.36,0.36,0
2740B,CANTDI,18,H1,14.5,14.6,0,0.05,-7.3,14.6,14.6,1.03,1.19,0.36,0.36,0
2824,CANTDI,21,H1,21.4,21.6,0,0.1,-10.8,21.6,21.6,1.03,1.19,0.36,0.36,0
3124,CANTDI,33,H1,35.7,36,34.4,0.15,-0.8,36,36,1.03,1.19,0.36,0.36,0
2911,CASTME,25,H1,0,33.2,34.5,16.6,0.65,33.2,34.5,0.44,0.57,0.6,0.8,5
3001A,CASTME,28,H1,12.1,12.9,13.5,0.4,0.3,12.9,13.5,0.44,0.57,0.6,0.8,6
3079B,CASTME,31,H2,14.2,14.2,14.2,0,0,14.2,14.2,0.44,0.57,0.6,0.8,4
3312B,CASTME,40,H2,12.3,13.1,13.1,0.4,0,13.1,13.1,0.44,0.57,0.6,0.8,16
2355,CHISTO,2,H2,13.2,13.5,13.9,0.15,0.2,13.5,13.9,0.49,0.47,0.67,0.67,0
3521,CHISTO,47,H1,15.2,15.3,15.3,0.05,0,15.3,15.3,0.49,0.47,0.67,0.67,0
2952,CHRYLA,26,H2,34.7,35.7,36.5,0.5,0.4,35.7,36.5,0.15,0.14,1,1,0
3546C,CINNIN,49,H1,13.6,13.8,14,0.1,0.1,13.8,14,0.15,0.14,0.5,0.5,0
2346,CLE1SU,2,H2,16.1,16.1,16.1,0,0,16.1,16.1,2.82,2.4,0.89,0.78,0
2367,CLE1SU,3,H1,23.4,23.3,23.2,-0.05,-0.05,23.4,23.3,2.82,2.4,0.89,0.78,0
2369A,CLE1SU,3,H1,11.3,0,0,-5.65,0,11.3,0,2.82,2.4,0.89,0.78,0
2375,CLE1SU,3,H1,11.6,11.6,12.4,0,0.4,11.6,12.4,2.82,2.4,0.89,0.78,7
2379,CLE1SU,3,H1,14.1,14.1,14.9,0,0.4,14.1,14.9,2.82,2.4,0.89,0.78,0
2388,CLE1SU,4,H1,14.7,14.7,14.9,0,0.1,14.7,14.9,2.82,2.4,0.89,0.78,0
2408,CLE1SU,4,H1,21,21.2,21.8,0.1,0.3,21.2,21.8,2.82,2.4,0.89,0.78,0
3184C,CLE1SU,35,H1,12,12,12.1,0,0.05,12,12.1,2.82,2.4,0.89,0.78,0
3294B,CROTAR,39,H1,12.5,13,0,0.25,-6.5,13,13,1.33,1.58,0.56,0.69,5
3294C,CROTAR,39,H2,13.2,14.1,15,0.45,0.45,14.1,15,1.33,1.58,0.56,0.69,0
3296B,CROTAR,39,H2,11.6,12.3,13,0.35,0.35,12.3,13,1.33,1.58,0.56,0.69,6
3308A,CROTAR,39,H2,0,10.5,11.2,5.25,0.35,10.5,11.2,1.33,1.58,0.56,0.69,0
3328B,CROTAR,40,H2,12.3,13,14,0.35,0.5,13,14,1.33,1.58,0.56,0.69,4
3408A,CROTAR,43,H2,0,10.1,10.2,5.05,0.05,10.1,10.2,1.33,1.58,0.56,0.69,6
3413,CROTAR,43,H2,0,13.4,13.7,6.7,0.15,13.4,13.7,1.33,1.58,0.56,0.69,0
3503B,CROTAR,47,H2,13.3,0,0,-6.65,0,13.3,0,1.33,1.58,0.56,0.69,0
3521A,CROTAR,47,H2,14.5,15.2,16,0.35,0.4,15.2,16,1.33,1.58,0.56,0.69,0
3525B,CROTAR,48,H2,11.3,11.7,12,0.2,0.15,11.7,12,1.33,1.58,0.56,0.69,0
3532A,CROTAR,48,H2,17.3,17.9,17.5,0.3,-0.2,17.9,17.9,1.33,1.58,0.56,0.69,0
3547C,CROTAR,49,H2,12,12.2,12.2,0.1,0,12.2,12.2,1.33,1.58,0.56,0.69,0
2335C,CROTLA,1,H2,10.9,11.1,11.4,0.1,0.15,11.1,11.4,1.14,2.53,0.27,0.45,0
2441C,CROTLA,6,H1,0,11.8,12.5,5.9,0.35,11.8,12.5,1.14,2.53,0.27,0.45,0
2506B,CROTLA,8,H1,12.9,13.2,13.5,0.15,0.15,13.2,13.5,1.14,2.53,0.27,0.45,0
2525A,CROTLA,9,H1,0,11.1,11.8,5.55,0.35,11.1,11.8,1.14,2.53,0.27,0.45,0
2614B,CROTLA,12,H1,0,11,10.6,5.5,-0.2,11,11,1.14,2.53,0.27,0.45,0
2632B,CROTLA,13,H1,20.8,21,21.1,0.1,0.05,21,21.1,1.14,2.53,0.27,0.45,24
2860A,CROTLA,23,H1,11.7,11.8,12.2,0.05,0.2,11.8,12.2,1.14,2.53,0.27,0.45,0
3000A,CROTLA,28,H2,0,15.9,16.3,7.95,0.2,15.9,16.3,1.14,2.53,0.27,0.45,0
3077B,CROTLA,31,H2,0,16.3,16.8,8.15,0.25,16.3,16.8,1.14,2.53,0.27,0.45,11
3082A,CROTLA,31,H2,16,0,0,-8,0,16,0,1.14,2.53,0.27,0.45,8
3555B,CROTLA,50,H2,19.8,20.5,21,0.35,0.25,20.5,21,1.14,2.53,0.27,0.45,0
3132A,CRY1CA,33,H2,19.1,19.3,20.1,0.1,0.4,19.3,20.1,0.15,0.14,1,1,6
2814C,CRY1GR,21,H1,10.8,10.9,11.1,0.05,0.1,10.9,11.1,0.15,0.14,0.17,0.17,6
3545A,CRY1IN,49,H2,0,10.6,10.5,5.3,-0.05,10.6,10.6,0,0.14,0,1,9
3341A,CRY1RU,41,H2,12.6,13.9,16,0.65,1.05,13.9,16,0.15,0.14,1,1,0
2706,CYATRA,17,H1,33.6,33.6,33.1,0,-0.25,33.6,33.6,1.2,1.15,0.43,0.43,0
2748B,CYATRA,18,H1,17.8,18.3,0,0.25,-9.15,18.3,18.3,1.2,1.15,0.43,0.43,7
3184B,CYATRA,35,H1,10.8,11,11.2,0.1,0.1,11,11.2,1.2,1.15,0.43,0.43,14
2367C,CYNOMA,3,H2,13.3,14.2,13.6,0.45,-0.3,14.2,14.2,2.87,2.77,1,1,0
2523,CYNOMA,9,H1,22.6,23.6,23.8,0.5,0.1,23.6,23.8,2.87,2.77,1,1,13
2695,CYNOMA,16,H1,59,59.2,60.1,0.1,0.45,59.2,60.1,2.87,2.77,1,1,6
2805C,CYNOMA,21,H1,16,16.9,0,0.45,-8.45,16.9,16.9,2.87,2.77,1,1,6
2880,CYNOMA,23,H1,27.1,27.6,28.6,0.25,0.5,27.6,28.6,2.87,2.77,1,1,0
2993A,CYNOMA,28,H1,17,17.6,18.3,0.3,0.35,17.6,18.3,2.87,2.77,1,1,0
3188,CYNOMA,35,H2,46.7,46.8,50.5,0.05,1.85,46.8,50.5,2.87,2.77,1,1,7
3194,CYNOMA,35,H2,23.3,23.8,24.4,0.25,0.3,23.8,24.4,2.87,2.77,1,1,0
3436A,CYNOMA,45,H2,13.6,13.6,14.8,0,0.6,13.6,14.8,2.87,2.77,1,1,7
3532,CYNOMA,48,H2,19.9,19.9,20,0,0.05,19.9,20,2.87,2.77,1,1,0
2800,DACRCO,20,H1,23,23.5,23.8,0.25,0.15,23.5,23.8,0.3,0.29,0.5,0.5,0
3535,DACRCO,48,H2,38.2,38.2,38.3,0,0.05,38.2,38.3,0.3,0.29,0.5,0.5,7
2693,DACRLA,16,H1,14,14,14.2,0,0.1,14,14.2,1.01,0.93,0.8,0.8,7
2709,DACRLA,17,H1,14.7,11.8,11.7,-1.45,-0.05,14.7,11.8,1.01,0.93,0.8,0.8,0
3206,DACRLA,36,H1,21.6,21.3,21.5,-0.15,0.1,21.6,21.5,1.01,0.93,0.8,0.8,0
3381,DACRLA,43,H2,20.7,21,21.7,0.15,0.35,21,21.7,1.01,0.93,0.8,0.8,7
2323,DACRR1,1,H1,19.8,20.2,20,0.2,-0.1,20.2,20.2,6.13,5.89,0.61,0.64,0
2345,DACRR1,2,H1,12.3,12,11.9,-0.15,-0.05,12.3,12,6.13,5.89,0.61,0.64,9
2348,DACRR1,2,H1,13.7,13.9,14.2,0.1,0.15,13.9,14.2,6.13,5.89,0.61,0.64,0
2349,DACRR1,2,H1,17,17.1,17.1,0.05,0,17.1,17.1,6.13,5.89,0.61,0.64,0
2349A,DACRR1,2,H1,11.4,11.8,0,0.2,-5.9,11.8,11.8,6.13,5.89,0.61,0.64,0
2362,DACRR1,2,H1,18.6,18.6,18.8,0,0.1,18.6,18.8,6.13,5.89,0.61,0.64,27
2502B,DACRR1,8,H1,0,10.2,0,5.1,-5.1,10.2,10.2,6.13,5.89,0.61,0.64,0
2549,DACRR1,10,H1,17.1,18.1,18.4,0.5,0.15,18.1,18.4,6.13,5.89,0.61,0.64,7
2570,DACRR1,11,H1,19.2,22.4,22.7,1.6,0.15,22.4,22.7,6.13,5.89,0.61,0.64,0
2612A,DACRR1,12,H1,10.4,10.4,10.3,0,-0.05,10.4,10.4,6.13,5.89,0.61,0.64,0
2636B,DACRR1,13,H1,15.5,16.6,17.3,0.55,0.35,16.6,17.3,6.13,5.89,0.61,0.64,0
2807,DACRR1,21,H1,19.2,0,0,-9.6,0,19.2,0,6.13,5.89,0.61,0.64,2
