Predicted DBH for 2019,Actual DBH for 2019
20.024755170141912,20.1
21.605930633435023,21.6
21.8428196784063,21.9
15.567859709620201,15.6
11.571553224054098,11.6
16.367045256271894,16.4
21.06282316464665,21.1
10.278827354166387,10.3
17.50905959835835,17.5
25.89652888556838,25.9
27.296212899854698,27.3
20.66657989068267,20.7
15.377187647938953,15.4
13.562671253917527,13.6
16.65320083916065,16.7
18.150826489477293,18.2
28.037660345345273,28.1
13.054148087809654,13.1
12.682853378318633,12.7
25.16597307162669,25.2
12.077537205070907,12.1
15.174930961453843,15.2
13.37688673229897,13.4
11.678181151937338,11.7
0.10037983258852279,0.0
18.0090884613508,18.0
11.309346637377857,11.3
17.10313335923605,17.1
11.009744767664962,11.0
17.30964905854238,17.3
12.408693006486512,12.4
13.308367279795705,13.3
17.20463198761879,17.2
10.116363794572974,10.1
11.708830282100898,11.7
10.957680743886417,11.0
10.956897121894242,11.0
16.362163801197678,16.4
17.16174768818967,17.2
15.962157990214166,16.0
16.26807674824359,16.3
13.671516318319615,13.7
30.26258687005611,30.3
34.05267566274738,34.1
-0.0010420820240284456,0.0
70.42049447136031,70.5
13.058796417340512,13.1
14.669832847659599,14.7
42.54479307517545,42.6
80.11086941934289,80.2
12.571945002558335,12.6
0.010706443149700817,0.0
0.03906586067384765,0.0
-0.00022143894479853543,0.0
22.16301975479807,22.2
21.264253948445564,21.3
37.44789053194863,37.5
58.336932891934836,58.4
14.875505277363459,14.9
79.1182549188575,79.2
10.779037719039842,10.8
101.09984422382544,101.2
12.539881502338536,12.6
0.012181087884982844,0.0
13.960744416975338,14.0
15.059767798415605,15.1
-0.009498147563157033,0.0
15.15969778988254,15.2
14.959825122353443,15.0
14.860062389936225,14.9
11.468803601146995,11.5
20.560323148538455,20.6
20.860427988596562,20.9
11.315485328066437,11.3
11.016854913792585,11.0
10.71573253879271,10.7
11.849594204740706,11.9
28.845485444487558,28.9
14.86402549267098,14.9
14.764386094779,14.8
41.332695609034985,41.4
10.180619181139743,10.2
0.03926790693980209,0.0
34.68833607499475,34.7
40.56457247832314,40.6
28.270756244408805,28.3
0.03204036302023994,0.0
13.216088914908097,13.2
41.09990961695998,41.2
0.0007348993332456644,0.0
11.267499148026255,11.3
42.13424055755756,42.2
37.44388075588526,37.5
9.959105270824152,10.0
11.016506205922923,11.0
19.902705106608362,19.9
24.33024989032156,24.4
17.835396364641177,17.9
17.336211537461807,17.4
14.04575093392279,14.1
-0.010330815674969074,0.0
20.738557583072396,20.8
13.608257471777861,13.6
46.626896696416324,46.7
11.863938051290043,11.9
15.06101653688129,15.1
11.863957639322697,11.9
-0.021103753709976303,0.0
11.662298453475577,11.7
11.961421236972036,12.0
12.56638341393692,12.6
16.411642272382583,16.4
20.40194293475209,20.4
21.139887361803552,21.2
15.444996101329608,15.5
40.28984065174721,40.3
40.58344411112007,40.6
22.231419130157796,22.3
24.230018057319604,24.3
-0.025581501877162793,0.0
0.020489830328966008,0.0
25.802737964227457,25.8
31.091847026252776,31.1
0.04328940412416671,0.0
15.50668654258218,15.5
29.299323378827026,29.3
10.916521717994021,10.9
56.87023625398031,56.9
103.39976673455786,103.5
20.173508214005537,20.2
48.44743193547246,48.5
0.0596497684441708,0.0
39.56197409970951,39.6
27.202886752600076,27.2
10.968795864519715,11.0
14.873946077143811,14.9
17.970987198595978,18.0
27.12479410799678,27.2
11.926489992966525,12.0
14.135406296659283,14.2
29.899715749419258,29.9
16.206111006539604,16.2
11.210757345828831,11.2
13.814052592442282,13.8
-0.0009098689822337747,0.0
14.748821601661877,14.8
18.142521306611208,18.2
25.142601406646502,25.2
11.59195498872151,11.6
20.487746883556316,20.5
13.470713744886115,13.5
14.869790828738857,14.9
14.969553561156072,15.0
37.354932516368976,37.4
21.069604263117917,21.1
10.217606484254556,10.2
34.89587399207866,34.9
45.08610362254235,45.1
12.575726619908831,12.6
11.587732445744512,11.6
11.472262963596645,11.5
0.04072118618989151,0.0
11.380132895596477,11.4
14.375088260093655,14.4
11.173665202680866,11.2
31.630810355614983,31.7
31.73074434735468,31.8
14.844945898824108,14.9
11.854062240817171,11.9
11.942955806515368,12.0
-0.008799138907718884,0.0
11.164332297972651,11.2
13.051194244595045,13.1
14.513986909174692,14.5
64.16441259035838,64.2
24.400233971298846,24.4
11.06582547210799,11.1
12.515798754320762,12.5
18.005263356768612,18.0
12.133845208291362,12.2
11.916269380853421,11.9
24.74217923720147,24.8
12.853669367605669,12.9
16.74915486704053,16.8
0.005570508244716166,0.0
17.254567540291397,17.3
16.15591600772136,16.2
41.49008387858623,41.5
32.04665698100429,32.1
14.509011851571834,14.5
20.003671654334894,20.0
11.347535842150918,11.4
20.644342470094173,20.7
53.378917245269534,53.4
13.715700889340013,13.7
15.09535273604486,15.1
12.998012418047704,13.0
11.088754644730077,11.1
13.796293802391752,13.8
12.496983451228992,12.5
31.17969202696974,31.2
-0.020227299311684988,0.0
-0.020227299311684988,0.0
25.529942953360674,25.6
12.740946581253155,12.8
16.543572695475913,16.6
11.747757422962072,11.8
16.843635830397265,16.9
17.143248365053065,17.2
32.32926917263312,32.4
32.33034991754447,32.4
11.916490407078115,11.9
19.72680079640729,19.8
12.959031971778515,13.0
42.606961739320006,42.7
12.516469985710138,12.5
11.494330105118983,11.5
40.26883832901617,40.3
23.883648919242145,23.9
44.3658439373896,44.4
26.197890327088636,26.2
62.072600533265614,62.1
80.84567720958401,80.9
0.049104880733398915,0.0
38.729210700885915,38.8
16.14888125326449,16.2
23.642260788643146,23.7
39.62755567570079,39.7
30.543530961073586,30.6
25.546977317080845,25.6
29.942552754917955,30.0
10.950178372422434,11.0
32.64136427355743,32.7
17.444563456624756,17.5
12.736570786328347,12.8
14.47716654260877,14.5
15.213680360202478,15.2
13.615901867178318,13.6
12.817484224946533,12.8
30.795081887532763,30.8
11.48224802196025,11.5
11.372056542394278,11.4
11.981791639321408,12.0
12.082883630994955,12.1
10.18969446926516,10.2
12.6867072862094,12.7
25.64877779520861,25.7
15.354528930881195,15.4
35.53391348535266,35.6
11.05610359371307,11.1
18.64900387650816,18.7
14.115683351965767,14.1
17.612080526551498,17.6
22.55290596598517,22.6
